
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 800


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.5
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0015
 target_update_frequency: 25
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 500
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0  -1.9999999999999998                  0.5
      23.0                  0.0  -2.0599999999999996                  0.5
      30.0                  0.0                -2.07                  0.5
      22.0                  0.0  -1.9499999999999997                  0.5
      26.0                  0.0                -2.03                  0.5
      87.0                  1.0 0.040000000000000924               0.4925
       4.0                  0.0                -2.05                0.491
      25.0                  0.0  -2.0799999999999996               0.4895
      11.0                  0.0  -2.1199999999999997                0.488
      11.0                  0.0  -2.1199999999999997               0.4865
      56.0                  0.0                -2.29                0.485
       2.0                  0.0                -2.03               0.4835
      63.0                  1.0 0.020000000000003126                0.482
       9.0                  1.0 -0.01999999999999935               0.4805
      63.0                  0.0  -2.0399999999999996                0.479
      28.0                  0.0                -2.07               0.4775
       9.0                  0.0  -2.0199999999999996                0.476
      53.0                  0.0  -2.0799999999999996               0.4745
      24.0                  0.0                -2.07                0.473
      16.0                  0.0  -1.9699999999999998               0.4715
      17.0                  1.0  0.11999999999999833                 0.47
      12.0                  0.0                -2.13               0.4685
      28.0                  1.0   0.0900000000000003  0.46699999999999997
      25.0                  0.0  -2.1399999999999997               0.4655
      43.0                  0.0                -1.88  0.46399999999999997
     150.0                  4.0    6.329999999999995               0.4625
       8.0                  0.0  -1.9899999999999998                0.461
      32.0                  1.0  0.10999999999999854               0.4595
      21.0                  0.0  -1.9799999999999998                0.458
      15.0                  0.0  -2.0599999999999996               0.4565
      27.0                  0.0  -2.0999999999999996                0.455
      66.0                  3.0    4.449999999999994               0.4535
      33.0                  0.0  -2.0999999999999996                0.452
     104.0                  2.0    2.489999999999993               0.4505
      74.0                  3.0    4.309999999999995                0.449
      25.0                  1.0  0.13999999999999968               0.4475
      85.0                  5.0     8.43999999999999                0.446
     116.0                  3.0    4.429999999999994               0.4445
       0.0                  0.0                -2.01                0.443
     146.0                  4.0    6.489999999999991               0.4415
      68.0                  2.0    2.309999999999997                 0.44
      31.0                  2.0    2.079999999999999               0.4385
     126.0                  4.0    6.569999999999991                0.437
      22.0                  0.0  -1.9099999999999997               0.4355
      19.0                  0.0  -1.9599999999999997                0.434
     304.0                  5.0    8.589999999999987               0.4325
      90.0                  0.0  -1.9299999999999997                0.431
