
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using exponential_ski_hill eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0
longer_from_apple_punishment: -0.0


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0205
 target_update_frequency: 50
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 445
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
      21.0                  0.0                 -2.0                  1.0
      36.0                  0.0                 -2.0                  1.0
      20.0                  0.0                 -2.0                  1.0
      19.0                  0.0                 -2.0                  1.0
       5.0                  0.0                 -2.0                  1.0
      39.0                  0.0                 -2.0   0.9872533573555715
      21.0                  0.0                 -2.0   0.9852188092967104
       4.0                  0.0                 -2.0   0.9831017317555452
      11.0                  0.0                 -2.0   0.9808953760361179
       1.0                  0.0                 -2.0   0.9785947901374838
      26.0                  0.0                 -2.0    0.976196108788829
       6.0                  0.0                 -2.0   0.9736961741087251
      79.0                  1.0                  0.0   0.9710923189261557
      35.0                  0.0                 -2.0   0.9683822366623697
      59.0                  0.0                 -2.0   0.9655639002047175
      15.0                  0.0                 -2.0   0.9626355099202843
      12.0                  0.0                 -2.0   0.9595954597203764
       3.0                  0.0                 -2.0   0.9564423146881555
       1.0                  0.0                 -2.0   0.9531747963209583
      12.0                  0.0                 -2.0   0.9497917729005867
      31.0                  0.0                 -2.0   0.9462922533774426
      21.0                  0.0                 -2.0   0.9426753836919799
      33.0                  0.0                 -2.0   0.9389404447975164
      79.0                  0.0                 -2.0   0.9350868518695832
       1.0                  0.0                 -2.0   0.9311141543338299
      24.0                  1.0                  0.0    0.927022036444005
      27.0                  0.0                 -2.0   0.9228103182102381
      59.0                  0.0                 -2.0   0.9184789565261738
      11.0                  0.0                 -2.0   0.9140280463780692
       1.0                  0.0                 -2.0   0.9094578220441363
      54.0                  1.0                  0.0   0.9047686582110761
      22.0                  0.0                 -2.0   0.8999610709488504
      85.0                  1.0                  0.0   0.8950357184956101
      51.0                  0.0                 -2.0   0.8899934018132756
      33.0                  0.0                 -2.0   0.8848350648811735
     113.0                  0.0                 -2.0   0.8795617947008657
      40.0                  0.0                 -2.0   0.8741748209901469
