
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0001
 target_update_frequency: 50
 learning_rate: 1e-05
 memory_size: 1000000
 n_episodes: 6000
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0  -1.9999999999999998                 0.25
      47.0                  1.0 0.020000000000000462                 0.25
      35.0                  0.0  -2.0799999999999996                 0.25
      11.0                  0.0  -2.0999999999999996                 0.25
       5.0                  0.0  -2.0599999999999996                 0.25
      17.0                  0.0  -2.1399999999999997                 0.25
       3.0                  0.0  -2.0399999999999996                 0.25
       4.0                  0.0                -2.05               0.2493
      42.0                  0.0                -2.09               0.2492
       9.0                  0.0  -1.9599999999999997               0.2491
      25.0                  0.0  -2.1199999999999997                0.249
       2.0                  0.0                -2.03               0.2489
      17.0                  0.0                 -1.9               0.2488
      46.0                  1.0 0.010000000000000231               0.2487
      12.0                  0.0                -2.07               0.2486
       5.0                  0.0  -2.0599999999999996               0.2485
      15.0                  0.0  -2.1399999999999997               0.2484
      28.0                  0.0                -2.03               0.2483
      14.0                  0.0  -1.9699999999999998               0.2482
      20.0                  0.0  -1.8499999999999999               0.2481
      10.0                  0.0                -2.11                0.248
      16.0                  0.0  -1.9299999999999997               0.2479
       7.0                  0.0  -2.0799999999999996               0.2478
      25.0                  0.0  -2.0999999999999996               0.2477
      21.0                  0.0  -1.8399999999999999               0.2476
       8.0                  0.0                -2.07               0.2475
       5.0                  0.0  -2.0199999999999996               0.2474
       7.0                  0.0  -2.0199999999999996               0.2473
      39.0                  1.0   0.1999999999999984               0.2472
      33.0                  0.0  -2.0599999999999996               0.2471
      18.0                  0.0                -2.09                0.247
      66.0                  0.0  -1.9099999999999997               0.2469
      58.0                  1.0  0.08999999999999986               0.2468
      70.0                  0.0  -1.8499999999999999               0.2467
      15.0                  0.0  -2.0399999999999996  0.24659999999999999
       5.0                  0.0  -2.0599999999999996               0.2465
      60.0                  4.0    6.309999999999993               0.2464
      11.0                  0.0  -2.1199999999999997               0.2463
       9.0                  0.0  -2.0799999999999996               0.2462
      41.0                  0.0  -2.0799999999999996               0.2461
      26.0                  0.0                -2.05                0.246
      84.0                  1.0  0.04999999999999982               0.2459
      32.0                  1.0  0.13000000000000034               0.2458
       3.0                  0.0  -2.0399999999999996               0.2457
      16.0                  0.0  -1.9099999999999997               0.2456
       7.0                  1.0 4.440892098500626e-16               0.2455
      29.0                  0.0  -1.9599999999999997               0.2454
      14.0                  0.0                -2.07               0.2453
      33.0                  0.0  -1.9399999999999997               0.2452
      35.0                  0.0  -2.0999999999999996               0.2451
      18.0                  0.0  -1.9099999999999997                0.245
      10.0                  0.0                -2.01               0.2449
      21.0                  1.0  0.18000000000000016               0.2448
      18.0                  0.0  -1.9899999999999998               0.2447
       3.0                  0.0  -2.0199999999999996               0.2446
      25.0                  2.0    2.179999999999997               0.2445
      11.0                  0.0                 -1.9               0.2444
      29.0                  1.0  0.09999999999999964               0.2443
       1.0                  0.0  -1.9999999999999998               0.2442
      16.0                  1.0  0.14999999999999725               0.2441
       5.0                  0.0  -1.9999999999999998                0.244
       7.0                  0.0  -1.9599999999999997               0.2439
     152.0                  0.0                -2.17               0.2438
      27.0                  1.0  0.11999999999999966               0.2437
      33.0                  0.0                 -1.9               0.2436
     104.0                  3.0    4.189999999999996               0.2435
     146.0                  0.0                -2.07               0.2434
      45.0                  4.0   6.3399999999999945               0.2433
     105.0                  4.0    6.439999999999994               0.2432
      91.0                  5.0     8.55999999999999               0.2431
      53.0                  2.0    2.219999999999997                0.243
     132.0                  4.0   6.8099999999999845               0.2429
       6.0                  0.0  -1.9499999999999997               0.2428
      74.0                  4.0    6.469999999999992               0.2427
     102.0                  6.0   10.629999999999987               0.2426
      78.0                  3.0    4.449999999999992               0.2425
      65.0                  5.0     8.49999999999999               0.2424
      56.0                  1.0  0.16999999999999904               0.2423
     103.0                  7.0   12.839999999999986               0.2422
      17.0                  0.0                 -1.9               0.2421
      32.0                  2.0   2.2099999999999964                0.242
     108.0                  4.0    6.709999999999987               0.2419
     165.0                  6.0   10.919999999999982               0.2418
     141.0                  5.0    8.439999999999994               0.2417
     167.0                  7.0   12.859999999999985               0.2416
       2.0                  0.0                -2.03               0.2415
      62.0                  5.0    8.429999999999993               0.2414
      39.0                  1.0   0.2999999999999967               0.2413
     233.0                  5.0    9.019999999999984               0.2412
      78.0                  4.0    6.589999999999991               0.2411
     152.0                  4.0    6.729999999999986                0.241
     106.0                  5.0    8.789999999999985               0.2409
      93.0                  3.0    4.539999999999992  0.24080000000000001
     135.0                  9.0   16.979999999999993               0.2407
      64.0                  2.0    2.489999999999993               0.2406
       0.0                  0.0                -2.01               0.2405
      33.0                  0.0  -2.0399999999999996               0.2404
      69.0                  0.0  -2.0399999999999996               0.2403
      83.0                  6.0   10.619999999999989               0.2402
     120.0                  6.0   10.649999999999988               0.2401
     133.0                  4.0    6.679999999999989                 0.24
      64.0                  4.0    6.349999999999994               0.2399
      74.0                  4.0   6.3499999999999925               0.2398
      50.0                  4.0    6.269999999999996               0.2397
      93.0                  4.0   6.4799999999999915               0.2396
      75.0                  0.0  -1.9199999999999997               0.2395
      27.0                  1.0  0.20000000000000018               0.2394
      71.0                  4.0    6.519999999999991               0.2393
      26.0                  1.0  0.10999999999999943               0.2392
     190.0                  3.0    4.509999999999991               0.2391
     139.0                  4.0    6.759999999999989                0.239
      51.0                  1.0   0.2999999999999976               0.2389
      87.0                  5.0     8.55999999999999               0.2388
     137.0                  8.0   14.839999999999987               0.2387
     101.0                  4.0    6.699999999999987               0.2386
     179.0                  6.0   11.159999999999977               0.2385
     122.0                  5.0    8.729999999999988               0.2384
      14.0                  1.0  0.08999999999999853               0.2383
     140.0                  6.0   10.869999999999985               0.2382
      73.0                  6.0    10.53999999999999               0.2381
     166.0                  5.0    8.849999999999985                0.238
       6.0                  0.0  -1.9499999999999997               0.2379
      37.0                  2.0    2.139999999999998               0.2378
     131.0                  3.0    4.839999999999986               0.2377
     108.0                  4.0   6.4699999999999935               0.2376
     120.0                  5.0    8.889999999999985               0.2375
      67.0                  4.0    6.579999999999991               0.2374
      45.0                  3.0    4.339999999999994               0.2373
      81.0                  5.0    8.719999999999986               0.2372
     147.0                  9.0    17.26000000000002               0.2371
     143.0                  7.0   12.839999999999984                0.237
     174.0                  6.0   11.109999999999976               0.2369
     114.0                  8.0    14.80999999999999               0.2368
      56.0                  4.0    6.369999999999994               0.2367
      58.0                  3.0   4.3299999999999965               0.2366
      24.0                  1.0  0.14999999999999813               0.2365
      80.0                  5.0     8.56999999999999               0.2364
      26.0                  0.0  -1.8699999999999999               0.2363
      12.0                  0.0                -2.05               0.2362
      33.0                  1.0   0.2599999999999989               0.2361
      32.0                  1.0  0.24999999999999956                0.236
     111.0                  4.0   6.7999999999999865               0.2359
      95.0                  4.0    6.439999999999992               0.2358
      13.0                  0.0                 -1.9               0.2357
      99.0                  5.0    8.659999999999988               0.2356
      78.0                  2.0   2.3699999999999957               0.2355
     151.0                  7.0   12.819999999999984               0.2354
     151.0                  8.0   14.979999999999988               0.2353
     131.0                  6.0    10.99999999999998               0.2352
     130.0                  8.0   14.829999999999982               0.2351
      93.0                  5.0    8.419999999999995                0.235
      23.0                  1.0  0.08000000000000007               0.2349
      18.0                  1.0  0.10999999999999988               0.2348
     206.0                  8.0    15.00999999999999               0.2347
     216.0                  8.0   15.389999999999992               0.2346
     125.0                 11.0   20.900000000000027               0.2345
     170.0                  8.0    15.10999999999999               0.2344
      92.0                  1.0   0.3299999999999965               0.2343
      51.0                  1.0  0.05999999999999961               0.2342
     112.0                  6.0   10.809999999999985               0.2341
     101.0                  4.0    6.699999999999987  0.23399999999999999
     105.0                  5.0     8.71999999999999               0.2339
     110.0                  5.0    8.689999999999987               0.2338
      57.0                  4.0    6.499999999999989               0.2337
     102.0                  4.0    6.849999999999985               0.2336
