
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using Linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0005
longer_from_apple_punishment: -0.0005
max_iterations: 2000


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.02
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 1000000
 n_episodes: 900
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=1080, bias=True)
  (lin7): Linear(in_features=1080, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
     139.0                  0.0                 -2.0                  1.0
      38.0                  0.0              -2.0025                 0.98
      37.0                  0.0  -2.0020000000000002                 0.96
      21.0                  0.0               -2.003                 0.94
      69.0                  0.0  -2.0010000000000003                 0.92
       7.0                  0.0               -2.003                  0.9
       5.0                  0.0  -2.0020000000000002                 0.88
      25.0                  0.0               -2.004                 0.86
      38.0                  0.0              -2.0055                 0.84
       1.0                  0.0  -2.0010000000000003   0.8200000000000001
      21.0                  0.0  -1.9980000000000002                  0.8
      83.0                  1.0  0.00800000000000134                 0.78
      30.0                  0.0  -1.9965000000000002                 0.76
       9.0                  0.0  -2.0020000000000002                 0.74
      15.0                  0.0               -2.007                 0.72
      27.0                  0.0  -2.0020000000000002                  0.7
      72.0                  0.0  -2.0035000000000003   0.6799999999999999
      13.0                  0.0  -2.0010000000000003   0.6599999999999999
       8.0                  0.0              -2.0025                 0.64
     129.0                  0.0               -1.993                 0.62
      59.0                  1.0 0.0019999999999997797                  0.6
      46.0                  0.0              -2.0025   0.5800000000000001
      40.0                  0.0              -2.0055                 0.56
