
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using Linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.001
longer_from_apple_punishment: -0.001
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.5
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.00075
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 1000000
 n_episodes: 1000
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0               -2.001                  0.5
      17.0                  0.0               -2.008                  0.5
      18.0                  0.0               -2.009                  0.5
       8.0                  0.0  -1.9929999999999999                  0.5
      21.0                  0.0               -2.008                  0.5
       7.0                  0.0               -2.006                  0.5
      22.0                  0.0  -1.9989999999999999                  0.5
      17.0                  0.0                -2.01                  0.5
       5.0                  0.0               -2.006                  0.5
      31.0                  0.0               -1.988              0.49325
      15.0                  0.0               -2.006               0.4925
       5.0                  0.0               -2.002              0.49175
      33.0                  0.0               -1.992                0.491
      22.0                  0.0               -2.017              0.49025
     109.0                  2.0   2.0119999999999965               0.4895
       7.0                  0.0               -2.006              0.48875
      99.0                  0.0               -1.998                0.488
     297.0                  1.0  0.01799999999999935              0.48725
     366.0                  1.0 0.018999999999998796               0.4865
     154.0                  0.0  -1.9809999999999999              0.48575
     157.0                  2.0   2.0440000000000063                0.485
      32.0                  0.0               -2.013              0.48425
      18.0                  0.0  -1.9929999999999999               0.4835
     244.0                  2.0    2.021000000000003              0.48275
       3.0                  0.0               -2.004                0.482
      26.0                  0.0               -2.017              0.48125
     331.0                  0.0                 -2.0               0.4805
      39.0                  1.0  0.01999999999999824              0.47975
      91.0                  1.0  0.01999999999999913                0.479
     654.0                  1.0   2.0170000000000003              0.47825
     197.0                  1.0 0.019999999999998685               0.4775
     239.0                  2.0    2.023999999999997              0.47675
      17.0                  0.0               -1.994                0.476
      93.0                  1.0 0.021999999999999353              0.47525
     576.0                  0.0  -1.9969999999999999               0.4745
     857.0                  1.0 -0.005999999999998007              0.47375
     600.0                  0.0               -0.005                0.473
     600.0                  0.0                0.007              0.47225
      10.0                  0.0  -1.9949999999999999               0.4715
     600.0                  0.0               -0.001              0.47075
     245.0                  1.0  0.01399999999999979                 0.47
     690.0                  1.0   1.9970000000000008              0.46925
     151.0                  4.0     6.04600000000001               0.4685
      26.0                  0.0               -2.009              0.46775
     702.0                  1.0  0.03099999999999925  0.46699999999999997
      51.0                  0.0               -2.006              0.46625
      86.0                  0.0  -1.9869999999999999               0.4655
     249.0                  1.0 0.005999999999999339              0.46475
       0.0                  0.0               -2.001  0.46399999999999997
     296.0                  2.0    2.045000000000004              0.46325
     600.0                  0.0 0.017000000000000008               0.4625
     158.0                  2.0    2.016999999999998              0.46175
     191.0                  0.0               -1.984                0.461
     487.0                  1.0 0.010000000000000231              0.46025
     600.0                  0.0               -0.001               0.4595
     158.0                  1.0 0.010999999999999233              0.45875
      18.0                  0.0  -2.0189999999999997                0.458
     478.0                  0.0               -2.017              0.45725
       6.0                  0.0  -1.9949999999999999               0.4565
     198.0                  1.0 0.0029999999999996696              0.45575
      70.0                  1.0 0.026999999999998803                0.455
       4.0                  0.0  -1.9989999999999999              0.45425
     469.0                  1.0 0.005999999999999783               0.4535
      62.0                  0.0               -2.001              0.45275
     158.0                  0.0  -1.9829999999999999                0.452
     345.0                  1.0 -0.011999999999998678              0.45125
       2.0                  0.0  -2.0029999999999997               0.4505
      36.0                  2.0    2.010999999999998              0.44975
       2.0                  0.0               -2.001                0.449
     185.0                  1.0 0.006000000000000227              0.44825
     706.0                  1.0                2.009               0.4475
     609.0                  1.0                 2.01              0.44675
       1.0                  0.0                 -2.0                0.446
     478.0                  4.0    6.043000000000006              0.44525
      59.0                  0.0               -2.016               0.4445
     465.0                  1.0 0.0060000000000006715              0.44375
       3.0                  0.0               -2.004                0.443
      92.0                  0.0               -2.013              0.44225
     600.0                  0.0                0.005               0.4415
     600.0                  0.0                0.007              0.44075
       8.0                  0.0  -1.9969999999999999                 0.44
      15.0                  0.0               -2.004  0.43925000000000003
     674.0                  3.0    4.043000000000003               0.4385
     547.0                  0.0               -2.016              0.43775
       9.0                  0.0               -2.002                0.437
       0.0                  0.0               -2.001              0.43625
       2.0                  0.0  -1.9989999999999999               0.4355
     257.0                  1.0 0.004000000000001336  0.43474999999999997
      23.0                  0.0               -1.998                0.434
     736.0                  1.0   2.0249999999999986              0.43325
      41.0                  0.0               -2.002               0.4325
     257.0                  1.0 0.008000000000000007  0.43174999999999997
     197.0                  0.0               -2.006                0.431
     165.0                  0.0               -2.024              0.43025
       1.0                  0.0               -2.002               0.4295
     240.0                  0.0               -2.005  0.42874999999999996
     280.0                  0.0  -2.0149999999999997                0.428
     480.0                  0.0  -2.0029999999999997              0.42725
     238.0                  0.0  -1.9969999999999999               0.4265
     679.0                  1.0                2.004              0.42575
     457.0                  1.0 0.027999999999999137                0.425
      97.0                  2.0   2.0139999999999962              0.42425
      30.0                  0.0               -2.001               0.4235
     281.0                  4.0    6.022000000000002              0.42275
       1.0                  0.0               -2.002                0.422
     122.0                  0.0               -2.017              0.42125
     600.0                  0.0                0.003               0.4205
     351.0                  1.0 4.440892098500626e-16              0.41975
      67.0                  0.0                 -2.0                0.419
     130.0                  0.0               -2.009              0.41825
     140.0                  0.0  -1.9989999999999999               0.4175
      10.0                  0.0  -2.0029999999999997              0.41675
      13.0                  0.0               -2.006                0.416
      44.0                  0.0  -2.0029999999999997              0.41525
     340.0                  0.0  -1.9969999999999999               0.4145
     599.0                  2.0    2.029999999999997              0.41375
      15.0                  0.0               -2.002                0.413
      82.0                  1.0 0.014999999999998792              0.41225
