
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using exponential_ski_hill eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.005
longer_from_apple_punishment: -0.005


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0015
 target_update_frequency: 25
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 1000
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0                -2.01                  1.0
      28.0                  0.0               -2.025               0.9985
      15.0                  0.0                -2.04                0.997
      58.0                  0.0  -2.0149999999999997               0.9955
      69.0                  0.0                -2.03                0.994
       5.0                  0.0                -2.02               0.9925
      10.0                  0.0  -2.0349999999999997                0.991
      38.0                  0.0  -1.9149999999999998               0.9895
      27.0                  0.0                 -2.0                0.988
       8.0                  0.0  -1.9949999999999999               0.9865
     124.0                  0.0  -2.0549999999999997                0.985
       2.0                  0.0  -2.0149999999999997               0.9835
       3.0                  0.0                -2.02                0.982
      27.0                  0.0                -2.03               0.9805
      24.0                  0.0  -2.0549999999999997                0.979
      80.0                  0.0  -1.9949999999999999               0.9775
      47.0                  0.0                -2.01                0.976
      13.0                  0.0                 -2.0               0.9745
      12.0                  0.0               -2.025                0.973
      39.0                  0.0                -1.97               0.9715
      42.0                  0.0  -2.0549999999999997                 0.97
       8.0                  0.0               -2.025               0.9685
      49.0                  0.0                -2.07                0.967
      57.0                  1.0 -0.019999999999999574               0.9655
      80.0                  0.0  -1.8849999999999998                0.964
      30.0                  0.0               -2.085               0.9625
     173.0                  1.0  0.08999999999999941                0.961
      17.0                  0.0                -2.06               0.9595
      49.0                  0.0                -1.99                0.958
       0.0                  0.0               -2.005               0.9565
      53.0                  0.0                -2.04                0.955
      10.0                  0.0  -1.9749999999999999               0.9535
     124.0                  0.0  -1.9949999999999999                0.952
