
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.001
longer_from_apple_punishment: -0.001
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.0006
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 100000
 n_episodes: 650
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0               -2.001                 0.25
      19.0                  0.0                -2.01                 0.25
      43.0                  0.0               -2.006                 0.25
      13.0                  0.0               -1.988                 0.25
      17.0                  0.0                -2.01                 0.25
       8.0                  0.0  -2.0069999999999997                 0.25
      20.0                  1.0 0.0030000000000005578                 0.25
       9.0                  0.0               -2.002               0.2458
       2.0                  0.0  -2.0029999999999997               0.2452
       1.0                  0.0               -2.002               0.2446
      21.0                  0.0               -1.996                0.244
       5.0                  0.0                 -2.0               0.2434
      52.0                  0.0  -1.9909999999999999               0.2428
       9.0                  0.0                -2.01               0.2422
      62.0                  2.0    2.016999999999998               0.2416
     222.0                  4.0    6.063000000000006                0.241
      64.0                  3.0    4.033000000000001               0.2404
     137.0                  3.0    4.048000000000004               0.2398
      41.0                  1.0 0.019999999999998685               0.2392
       7.0                  0.0               -1.998               0.2386
      22.0                  1.0 0.012999999999999012                0.238
     134.0                  5.0    8.085000000000003               0.2374
     100.0                  1.0  0.01100000000000012               0.2368
      58.0                  4.0    6.035000000000002               0.2362
     241.0                  4.0    6.088000000000003               0.2356
     263.0                  7.0   12.091999999999969                0.235
      65.0                  1.0  0.03799999999999715               0.2344
     291.0                  4.0    6.046000000000005               0.2338
     135.0                  1.0  0.01399999999999979               0.2332
     146.0                  1.0 0.020999999999999908               0.2326
     421.0                  7.0   12.121999999999975                0.232
     668.0                  5.0                8.063               0.2314
     613.0                  5.0    8.075999999999988               0.2308
    1323.0                  2.0   2.0580000000000056  0.23020000000000002
     235.0                  4.0                6.058               0.2296
     171.0                  2.0   2.0179999999999993                0.229
     162.0                  4.0    6.038999999999998               0.2284
     111.0                  4.0   6.0560000000000045               0.2278
     632.0                  5.0    8.098999999999991               0.2272
     116.0                  4.0    6.043000000000003               0.2266
     166.0                  0.0  -1.9949999999999999                0.226
     106.0                  0.0               -2.013               0.2254
       1.0                  0.0                 -2.0               0.2248
     344.0                  0.0  -1.9989999999999999               0.2242
     647.0                  1.0  0.03399999999999892               0.2236
     224.0                  4.0    6.046999999999997                0.223
    1084.0                  0.0  -1.9829999999999999  0.22240000000000001
     992.0                  2.0   2.0209999999999977               0.2218
     337.0                  7.0   12.107999999999981               0.2212
     308.0                  4.0    6.073000000000011               0.2206
      63.0                  0.0               -1.988                 0.22
     112.0                  6.0               10.059               0.2194
      40.0                  1.0 0.022999999999999243               0.2188
     697.0                 10.0   18.114000000000015               0.2182
      75.0                  2.0    2.044000000000002  0.21760000000000002
     322.0                  6.0   10.070999999999984                0.217
      28.0                  0.0  -1.9869999999999999               0.2164
     161.0                  4.0    6.064000000000007               0.2158
       1.0                  0.0                 -2.0               0.2152
      70.0                  1.0 0.022999999999997467               0.2146
     237.0                  7.0   12.111999999999993                0.214
     578.0                  6.0   10.080999999999996               0.2134
      61.0                  3.0    4.032000000000005               0.2128
     158.0                  0.0  -1.9929999999999999               0.2122
      99.0                  0.0               -1.988               0.2116
      11.0                  2.0   2.0079999999999987                0.211
     794.0                  0.0               -2.001               0.2104
     204.0                  6.0   10.074999999999973               0.2098
     352.0                  4.0    6.047000000000004               0.2092
      92.0                  1.0 0.022999999999998355               0.2086
     584.0                  2.0   2.0350000000000024  0.20800000000000002
      50.0                  1.0 0.014999999999999236               0.2074
     271.0                  7.0   12.097999999999983               0.2068
     236.0                  8.0   14.070999999999964               0.2062
     146.0                  6.0   10.054999999999993               0.2056
     243.0                  5.0    8.075999999999995  0.20500000000000002
     698.0                  7.0   12.086999999999975               0.2044
     403.0                 11.0    20.16600000000001               0.2038
     771.0                  9.0   16.136000000000017               0.2032
     815.0                 13.0    24.18400000000008               0.2026
    1626.0                  4.0    6.029000000000011                0.202
     541.0                  7.0   12.107999999999992               0.2014
     145.0                  3.0    4.044000000000004               0.2008
      12.0                  0.0  -1.9889999999999999               0.2002
     119.0                  0.0               -1.992               0.1996
       4.0                  0.0               -2.005                0.199
     303.0                  7.0   12.073999999999975  0.19840000000000002
     422.0                  3.0    4.047000000000002               0.1978
      13.0                  0.0                 -2.0  0.19720000000000001
     720.0                  3.0    4.049000000000003               0.1966
     759.0                 13.0   24.180000000000057                0.196
     304.0                  8.0   14.124999999999991  0.19540000000000002
     747.0                  8.0    14.15599999999998               0.1948
     455.0                  4.0    6.054000000000009               0.1942
      56.0                  1.0  0.03899999999999748               0.1936
     462.0                  9.0   16.141000000000002                0.193
     344.0                 11.0    20.16300000000003  0.19240000000000002
      43.0                  2.0                 2.02               0.1918
     197.0                  7.0    12.07199999999999               0.1912
     227.0                  7.0   12.077999999999996               0.1906
      21.0                  0.0                 -2.0                 0.19
     100.0                  4.0    6.040999999999997               0.1894
     292.0                  9.0               16.125               0.1888
      73.0                  5.0    8.033999999999995               0.1882
      48.0                  3.0    4.035000000000004               0.1876
      13.0                  0.0               -1.996                0.187
      46.0                  0.0  -1.9829999999999999               0.1864
     134.0                  6.0   10.076999999999984  0.18580000000000002
     151.0                  4.0    6.050000000000006               0.1852
     160.0                  7.0   12.118999999999978               0.1846
      30.0                  0.0  -1.9749999999999999                0.184
     112.0                  4.0   6.0649999999999995               0.1834
     173.0                  7.0   12.087999999999976  0.18280000000000002
     230.0                 10.0   18.119000000000018               0.1822
