
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using exponential eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0
longer_from_apple_punishment: -0.0


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.005
 epsilon_decay_rate: 0.02
 target_update_frequency: 50
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 445
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
      21.0                  0.0                 -2.0                  1.0
      36.0                  0.0                 -2.0                  1.0
      20.0                  0.0                 -2.0                  1.0
      19.0                  0.0                 -2.0                  1.0
       5.0                  0.0                 -2.0                  1.0
     174.0                  0.0                 -2.0   0.9098374180359595
      39.0                  0.0                 -2.0   0.8919204367171575
      11.0                  0.0                 -2.0   0.8743582353988059
      36.0                  0.0                 -2.0   0.8571437889662114
       2.0                  0.0                 -2.0    0.840270211411272
      22.0                  0.0                 -2.0   0.8237307530779818
      10.0                  0.0                 -2.0   0.8075187979624785
       4.0                  0.0                 -2.0   0.7916278610665535
      22.0                  0.0                 -2.0   0.7760515858035663
      12.0                  0.0                 -2.0   0.7607837414557255
      11.0                  0.0                 -2.0   0.7458182206817179
       5.0                  0.0                 -2.0   0.7311490370736909
      22.0                  0.0                 -2.0   0.7167703227626097
       1.0                  0.0                 -2.0    0.702676326071031
       6.0                  0.0                 -2.0   0.6888614092123558
      25.0                  0.0                 -2.0   0.6753200460356393
       7.0                  0.0                 -2.0   0.6620468198150568
      40.0                  0.0                 -2.0   0.6490364210831414
     101.0                  1.0                  0.0    0.636283645506926
      16.0                  0.0                 -2.0   0.6237833918061408
      69.0                  0.0                 -2.0   0.6115306597126334
      19.0                  0.0                 -2.0   0.5995205479701944
      12.0                  0.0                 -2.0   0.5877482523739896
      55.0                  1.0                  0.0   0.5762090638488149
      51.0                  0.0                 -2.0    0.564898366565402
      94.0                  0.0                 -2.0   0.5538116360940264
     129.0                  0.0                 -2.0   0.5429444375946745
     168.0                  0.0                 -2.0   0.5322924240430486
      58.0                  0.0                 -2.0   0.5218513344916992
      33.0                  0.0                 -2.0   0.5116169923655896
      16.0                  0.0                 -2.0   0.5015853037914094
     108.0                  0.0                 -2.0   0.4917522559599717
