
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0
longer_from_apple_punishment: -0.0
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.0006
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 100000
 n_episodes: 650
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0                 -2.0                 0.25
      19.0                  0.0                 -2.0                 0.25
      43.0                  0.0                 -2.0                 0.25
      13.0                  0.0                 -2.0                 0.25
      17.0                  0.0                 -2.0                 0.25
       8.0                  0.0                 -2.0                 0.25
      20.0                  1.0                  0.0                 0.25
       9.0                  0.0                 -2.0               0.2458
       2.0                  0.0                 -2.0               0.2452
       1.0                  0.0                 -2.0               0.2446
      21.0                  0.0                 -2.0                0.244
       5.0                  0.0                 -2.0               0.2434
      52.0                  0.0                 -2.0               0.2428
       9.0                  0.0                 -2.0               0.2422
     231.0                  4.0                  6.0               0.2416
      46.0                  0.0                 -2.0                0.241
      83.0                  2.0                  2.0               0.2404
     194.0                  4.0                  6.0               0.2398
      63.0                  2.0                  2.0               0.2392
       5.0                  0.0                 -2.0               0.2386
      28.0                  1.0                  0.0                0.238
     937.0                  4.0                  6.0               0.2374
     600.0                  0.0                  0.0               0.2368
     207.0                  4.0                  6.0               0.2362
     170.0                  0.0                 -2.0               0.2356
     320.0                  4.0                  6.0                0.235
     269.0                  2.0                  2.0               0.2344
     257.0                  4.0                  6.0               0.2338
      43.0                  1.0                  0.0               0.2332
      46.0                  2.0                  2.0               0.2326
     155.0                  1.0                  0.0                0.232
     220.0                  6.0                 10.0               0.2314
     329.0                  5.0                  8.0               0.2308
      55.0                  1.0                  0.0  0.23020000000000002
     144.0                  4.0                  6.0               0.2296
      45.0                  0.0                 -2.0                0.229
     382.0                  5.0                  8.0               0.2284
     163.0                  5.0                  8.0               0.2278
     300.0                  1.0                  0.0               0.2272
      17.0                  0.0                 -2.0               0.2266
     600.0                  0.0                  0.0                0.226
     200.0                  1.0                  0.0               0.2254
     207.0                  4.0                  6.0               0.2248
     370.0                  4.0                  6.0               0.2242
     188.0                  4.0                  6.0               0.2236
     335.0                  4.0                  6.0                0.223
     521.0                  0.0                 -2.0  0.22240000000000001
     350.0                  4.0                  6.0               0.2218
     633.0                  7.0                 12.0               0.2212
     463.0                  5.0                  8.0               0.2206
     574.0                  8.0                 14.0                 0.22
     541.0                  6.0                 10.0               0.2194
     323.0                  0.0                 -2.0               0.2188
     179.0                  2.0                  2.0               0.2182
     229.0                  1.0                  0.0  0.21760000000000002
     297.0                  5.0                  8.0                0.217
     426.0                  0.0                 -2.0               0.2164
     213.0                  4.0                  6.0               0.2158
     515.0                  4.0                  6.0               0.2152
    1022.0                  2.0                  2.0               0.2146
      10.0                  0.0                 -2.0                0.214
     407.0                  5.0                  8.0               0.2134
     143.0                  0.0                 -2.0               0.2128
      86.0                  0.0                 -2.0               0.2122
