
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.001
longer_from_apple_punishment: -0.001
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.0006
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 100000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0               -2.001                 0.25
      19.0                  0.0                -2.01                 0.25
      43.0                  0.0               -2.006                 0.25
      13.0                  0.0               -1.988                 0.25
      17.0                  0.0                -2.01                 0.25
       8.0                  0.0  -2.0069999999999997                 0.25
      20.0                  1.0 0.0030000000000005578                 0.25
       9.0                  0.0               -2.002               0.2458
       2.0                  0.0  -2.0029999999999997               0.2452
       1.0                  0.0               -2.002               0.2446
      21.0                  0.0               -1.996                0.244
       5.0                  0.0                 -2.0               0.2434
      52.0                  0.0  -1.9909999999999999               0.2428
       9.0                  0.0                -2.01               0.2422
      62.0                  2.0    2.016999999999998               0.2416
     222.0                  4.0    6.063000000000006                0.241
      64.0                  3.0    4.033000000000001               0.2404
     137.0                  3.0    4.048000000000004               0.2398
      41.0                  1.0 0.019999999999998685               0.2392
       7.0                  0.0               -1.998               0.2386
      22.0                  1.0 0.012999999999999012                0.238
     134.0                  5.0    8.085000000000003               0.2374
     100.0                  1.0  0.01100000000000012               0.2368
      58.0                  4.0    6.035000000000002               0.2362
     241.0                  4.0    6.088000000000003               0.2356
     263.0                  7.0   12.091999999999969                0.235
      65.0                  1.0  0.03799999999999715               0.2344
     291.0                  4.0    6.046000000000005               0.2338
     135.0                  1.0  0.01399999999999979               0.2332
     146.0                  1.0 0.020999999999999908               0.2326
     421.0                  7.0   12.121999999999975                0.232
     668.0                  5.0                8.063               0.2314
     613.0                  5.0    8.075999999999988               0.2308
     651.0                  2.0    2.050000000000002  0.23020000000000002
     209.0                  4.0    6.056000000000001               0.2296
     346.0                  5.0    8.056999999999993                0.229
     152.0                  3.0    4.029000000000002               0.2284
     189.0                  5.0    8.060000000000002               0.2278
     516.0                  8.0   14.144999999999984               0.2272
      16.0                  0.0  -1.9909999999999999               0.2266
     138.0                  0.0  -1.9969999999999999                0.226
     191.0                  1.0 -0.0019999999999993356               0.2254
       8.0                  0.0  -1.9949999999999999               0.2248
       3.0                  0.0               -2.004               0.2242
     249.0                  7.0   12.105999999999993               0.2236
     162.0                  1.0 0.010999999999999233                0.223
     189.0                  0.0               -1.986  0.22240000000000001
      95.0                  1.0 0.019999999999997797               0.2218
     329.0                  4.0    6.066000000000004               0.2212
     221.0                  4.0    6.072000000000012               0.2206
     121.0                  6.0   10.075999999999985                 0.22
     229.0                  8.0   14.083999999999984               0.2194
     214.0                  1.0 0.022999999999999243               0.2188
     132.0                  6.0   10.078999999999997               0.2182
      36.0                  1.0 0.014999999999999236  0.21760000000000002
     166.0                  5.0    8.046999999999997                0.217
     600.0                  0.0               -1.999               0.2164
     330.0                  7.0    12.13099999999997               0.2158
     290.0                  5.0    8.064999999999996               0.2152
     268.0                  2.0   2.0370000000000013               0.2146
      11.0                  0.0               -1.994                0.214
       3.0                  0.0                 -2.0               0.2134
     600.0                  0.0               -1.997               0.2128
     600.0                  0.0  -1.9969999999999999               0.2122
      93.0                  0.0               -1.986               0.2116
     163.0                  7.0   12.067999999999993                0.211
     600.0                  0.0  -1.9989999999999999               0.2104
      67.0                  4.0   6.0319999999999965               0.2098
     286.0                  4.0    6.045000000000005               0.2092
     291.0                  8.0   14.101999999999995               0.2086
     353.0                 10.0    18.12800000000001  0.20800000000000002
      80.0                  3.0    4.051000000000007               0.2074
       1.0                  0.0                 -2.0               0.2068
     333.0                 15.0    28.17400000000009               0.2062
      56.0                  3.0    4.027000000000003               0.2056
       4.0                  0.0               -2.005  0.20500000000000002
     173.0                  4.0    6.036000000000003               0.2044
      84.0                  1.0   0.0129999999999999               0.2038
     309.0                  9.0   16.136000000000017               0.2032
     153.0                  2.0    2.033999999999996               0.2026
       0.0                  0.0               -2.001                0.202
      76.0                  2.0   2.0289999999999995               0.2014
     398.0                  8.0   14.142999999999992               0.2008
       8.0                  0.0  -1.9929999999999999               0.2002
      79.0                  0.0               -1.984               0.1996
     600.0                  0.0  -1.9929999999999999                0.199
       8.0                  0.0               -2.001  0.19840000000000002
     137.0                  3.0    4.048000000000004               0.1978
       6.0                  0.0  -1.9969999999999999  0.19720000000000001
     655.0                  3.0    4.056000000000006               0.1966
      52.0                  2.0    2.026999999999999                0.196
     670.0                 13.0    24.18500000000009  0.19540000000000002
     454.0                 13.0   24.227000000000064               0.1948
     573.0                 13.0   24.156000000000073               0.1942
     111.0                  1.0  0.03399999999999803               0.1936
      41.0                  2.0                 2.02                0.193
     171.0                  4.0    6.054000000000009  0.19240000000000002
      46.0                  2.0   2.0189999999999997               0.1918
      35.0                  2.0   2.0220000000000025               0.1912
     333.0                  7.0   12.081999999999994               0.1906
     249.0                  9.0   16.141999999999992                 0.19
     226.0                  7.0   12.064999999999984               0.1894
     254.0                  0.0               -2.005               0.1888
     246.0                  7.0    12.06299999999998               0.1882
     112.0                  4.0    6.041000000000002               0.1876
     342.0                  5.0     8.06699999999999                0.187
      38.0                  0.0  -1.9909999999999999               0.1864
     176.0                  4.0    6.045000000000002  0.18580000000000002
     250.0                  9.0   16.135000000000005               0.1852
     393.0                 12.0   22.170000000000027               0.1846
     133.0                  5.0    8.088000000000001                0.184
     216.0                  8.0   14.110999999999974               0.1834
     283.0                  6.0   10.083999999999978  0.18280000000000002
     149.0                  7.0   12.065999999999985               0.1822
