
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using oscillator eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.01275
 target_update_frequency: 25
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0  -1.9999999999999998                 0.25
      47.0                  1.0 0.020000000000000462                 0.25
      35.0                  0.0  -2.0799999999999996                 0.25
      11.0                  0.0  -2.0999999999999996                 0.25
       5.0                  0.0  -2.0599999999999996                 0.25
      17.0                  0.0  -2.1399999999999997                 0.25
       3.0                  0.0  -2.0399999999999996                 0.25
       4.0                  0.0                -2.05   0.2272575138600742
       9.0                  0.0  -2.0799999999999996   0.2221444228681609
       2.0                  0.0                -2.01     0.21663120940522
      15.0                  0.0  -2.0199999999999996  0.21074399993976092
       2.0                  0.0                -2.03  0.20451030023470443
      13.0                  0.0  -2.1399999999999997  0.19795885682353775
      40.0                  1.0 0.010000000000000231  0.19111951457138468
      15.0                  0.0  -2.0199999999999996  0.18402307100036355
      13.0                  0.0                 -1.9   0.1767011280651271
      14.0                  0.0                -2.15   0.1691859420678703
       2.0                  0.0                -2.03   0.1615102724023809
       8.0                  0.0                -2.05  0.15370722981391804
      44.0                  0.0                -2.05  0.14581012485589484
      30.0                  0.0                -2.09  0.13785231721556573
       5.0                  0.0  -2.0599999999999996  0.12986706656925562
      12.0                  1.0  0.10999999999999988  0.12188738561319766
      16.0                  0.0                -2.13  0.11394589589887075
       0.0                  0.0                -2.01  0.10607468708195043
      12.0                  0.0                -2.05   0.0983051801717288
      26.0                  0.0  -1.9299999999999997  0.09066799534324751
      19.0                  0.0  -2.0799999999999996  0.08319282484755768
