
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.0006
 target_update_frequency: 50
 learning_rate: 1e-05
 memory_size: 1000000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0                -2.01                 0.25
      19.0                  0.0  -2.0999999999999996                 0.25
      43.0                  0.0  -2.0599999999999996                 0.25
      13.0                  0.0                -1.88                 0.25
      17.0                  0.0  -2.0999999999999996                 0.25
       8.0                  0.0                -2.07                 0.25
      20.0                  1.0  0.03000000000000158                 0.25
      23.0                  0.0  -2.0199999999999996               0.2458
       2.0                  0.0                -2.03               0.2452
       1.0                  0.0  -2.0199999999999996               0.2446
       8.0                  0.0                -2.05                0.244
       4.0                  0.0                -2.05               0.2434
      14.0                  0.0                -2.13               0.2428
       9.0                  0.0  -2.0999999999999996               0.2422
      36.0                  0.0                -2.15               0.2416
       5.0                  0.0  -2.0599999999999996                0.241
       5.0                  0.0  -2.0599999999999996               0.2404
      21.0                  0.0  -2.0799999999999996               0.2398
      12.0                  0.0  -1.9299999999999997               0.2392
      20.0                  0.0  -1.8499999999999999               0.2386
      29.0                  0.0  -2.0399999999999996                0.238
      30.0                  1.0  0.18999999999999861               0.2374
       4.0                  0.0  -1.9699999999999998               0.2368
      17.0                  0.0  -2.0999999999999996               0.2362
       3.0                  0.0  -2.0399999999999996               0.2356
      52.0                  1.0  0.06999999999999984                0.235
     231.0                  0.0  -2.0599999999999996               0.2344
     230.0                  2.0    2.329999999999994               0.2338
      38.0                  1.0  0.14999999999999947               0.2332
       7.0                  0.0  -2.0799999999999996               0.2326
     144.0                  1.0    0.129999999999999                0.232
     160.0                  5.0    8.469999999999994               0.2314
     325.0                  5.0    8.739999999999986               0.2308
     182.0                  4.0    6.849999999999985  0.23020000000000002
      68.0                  4.0    6.509999999999991               0.2296
      21.0                  1.0  0.13999999999999968                0.229
     103.0                  4.0    6.419999999999991               0.2284
     129.0                  6.0   10.699999999999989               0.2278
      40.0                  1.0   0.3099999999999983               0.2272
      90.0                  5.0    8.449999999999992               0.2266
      15.0                  0.0  -1.9599999999999997                0.226
      33.0                  2.0    2.079999999999999               0.2254
      58.0                  2.0   2.2899999999999974               0.2248
      14.0                  0.0  -1.9899999999999998               0.2242
      47.0                  2.0   2.3799999999999972               0.2236
     133.0                  6.0   10.759999999999984                0.223
     157.0                  4.0    6.539999999999994  0.22240000000000001
      58.0                  2.0   2.2099999999999955               0.2218
      29.0                  1.0  0.25999999999999757               0.2212
     120.0                  6.0    11.02999999999998               0.2206
      28.0                  0.0  -1.8499999999999999                 0.22
     166.0                  9.0    17.03000000000001               0.2194
     100.0                  5.0     8.66999999999999               0.2188
     117.0                  8.0   14.939999999999989               0.2182
      11.0                  0.0  -1.9399999999999997  0.21760000000000002
      99.0                  6.0   10.579999999999988                0.217
      29.0                  1.0  0.16000000000000014               0.2164
     244.0                 11.0    21.85000000000006               0.2158
      29.0                  2.0   2.1799999999999997               0.2152
      32.0                  2.0   2.2499999999999947               0.2146
     182.0                  8.0   15.409999999999998                0.214
       1.0                  0.0  -2.0199999999999996               0.2134
      84.0                  5.0    8.569999999999988               0.2128
     157.0                  7.0   13.079999999999979               0.2122
      16.0                  0.0                -1.89               0.2116
