
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0007
 target_update_frequency: 50
 learning_rate: 0.0002
 memory_size: 1000000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0002
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): LeakyReLU(negative_slope=0.1)
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0  -1.9999999999999998                 0.25
      26.0                  0.0                -2.05                 0.25
      30.0                  0.0                -2.07                 0.25
       9.0                  0.0  -2.0799999999999996                 0.25
       6.0                  0.0                -2.05                 0.25
      22.0                  0.0                -2.17                 0.25
       3.0                  0.0  -2.0399999999999996                 0.25
       4.0                  0.0                -2.05                 0.25
      10.0                  0.0                -2.07                 0.25
       9.0                  0.0  -1.9599999999999997               0.2437
       4.0                  0.0                -2.01                0.243
      38.0                  0.0                -2.03               0.2423
      23.0                  1.0  0.14000000000000057               0.2416
      27.0                  0.0  -2.0599999999999996               0.2409
      26.0                  0.0                -2.03               0.2402
       5.0                  0.0  -2.0599999999999996               0.2395
      10.0                  0.0                -2.01               0.2388
      40.0                  1.0   0.1699999999999986               0.2381
      30.0                  0.0                -2.07               0.2374
      14.0                  0.0                -2.03               0.2367
       4.0                  0.0                -2.05                0.236
      16.0                  0.0                -2.17               0.2353
      16.0                  1.0  0.10999999999999988               0.2346
      11.0                  0.0  -2.1199999999999997               0.2339
      78.0                  0.0  -1.8299999999999998               0.2332
     134.0                  0.0                -2.17               0.2325
       8.0                  0.0  -1.9899999999999998               0.2318
      54.0                  1.0  0.10999999999999854               0.2311
      29.0                  1.0  0.04000000000000181               0.2304
       0.0                  0.0                -2.01  0.22970000000000002
     194.0                  2.0   2.3299999999999947                0.229
      41.0                  1.0  0.14000000000000057               0.2283
     394.0                  4.0   6.5299999999999905               0.2276
     260.0                 11.0   21.530000000000022               0.2269
     112.0                  4.0    6.589999999999989               0.2262
     162.0                  5.0    8.469999999999992               0.2255
      56.0                  1.0   0.0699999999999994               0.2248
     135.0                  5.0     8.61999999999999               0.2241
       8.0                  0.0                -2.09               0.2234
      89.0                  4.0    6.519999999999991               0.2227
     104.0                  3.0    4.449999999999994                0.222
      14.0                  1.0  0.03000000000000025               0.2213
     140.0                  4.0    6.409999999999995               0.2206
      77.0                  3.0    4.479999999999993               0.2199
     125.0                  6.0   10.999999999999984               0.2192
     259.0                 10.0   19.400000000000034               0.2185
      24.0                  0.0  -1.8099999999999998               0.2178
     112.0                  4.0    6.609999999999987  0.21710000000000002
       5.0                  0.0  -2.0399999999999996               0.2164
     321.0                  5.0    8.859999999999983               0.2157
     109.0                  6.0   10.799999999999988                0.215
      92.0                  6.0   10.629999999999988               0.2143
     139.0                  5.0    8.679999999999989               0.2136
     147.0                  4.0     6.63999999999999               0.2129
     181.0                  6.0    10.97999999999998               0.2122
      51.0                  2.0    2.139999999999998               0.2115
       4.0                  0.0  -1.9699999999999998               0.2108
     252.0                  3.0     4.56999999999999               0.2101
     787.0                  8.0   14.899999999999983               0.2094
     137.0                  2.0   2.2599999999999945               0.2087
     114.0                  2.0    2.489999999999993                0.208
     333.0                  6.0   10.739999999999988  0.20729999999999998
     131.0                  1.0  0.03999999999999959               0.2066
     159.0                  6.0   10.919999999999982               0.2059
     314.0                  4.0    6.809999999999988               0.2052
     647.0                  2.0    4.119999999999997  0.20450000000000002
     266.0                  5.0     8.54999999999999               0.2038
     287.0                  6.0   10.759999999999986               0.2031
     692.0                  8.0   14.909999999999984               0.2024
     172.0                  3.0    4.289999999999996               0.2017
     111.0                  2.0   2.2999999999999954                0.201
     135.0                  3.0    4.519999999999991               0.2003
       4.0                  0.0  -1.9699999999999998               0.1996
     173.0                  4.0    6.459999999999992               0.1989
      70.0                  5.0     8.46999999999999               0.1982
      28.0                  1.0   0.0900000000000003               0.1975
       3.0                  0.0  -1.9799999999999998               0.1968
      58.0                  2.0    2.349999999999995               0.1961
     347.0                  3.0   4.5199999999999925               0.1954
      26.0                  0.0  -1.9099999999999997  0.19469999999999998
      46.0                  1.0 0.010000000000000675                0.194
     308.0                  5.0    8.889999999999983               0.1933
     653.0                  7.0   13.159999999999977               0.1926
      39.0                  0.0  -1.9199999999999997  0.19190000000000002
     238.0                  6.0   10.729999999999988               0.1912
      17.0                  1.0  0.11999999999999922               0.1905
     414.0                 12.0   23.370000000000076               0.1898
     251.0                  1.0  0.25999999999999757               0.1891
     146.0                  4.0   6.7899999999999885               0.1884
     231.0                  3.0    4.499999999999993               0.1877
     200.0                  8.0   15.189999999999975                0.187
     359.0                  5.0    8.779999999999985  0.18630000000000002
     249.0                  3.0    4.579999999999991               0.1856
      91.0                  1.0 0.020000000000000018               0.1849
       0.0                  0.0                -2.01               0.1842
      48.0                  2.0    2.249999999999999               0.1835
      51.0                  0.0                 -1.9  0.18280000000000002
     452.0                  6.0   11.029999999999982  0.18209999999999998
     143.0                  8.0   14.739999999999982               0.1814
     162.0                  6.0   10.769999999999985               0.1807
     129.0                  4.0    6.699999999999989                 0.18
     349.0                  8.0   14.719999999999983  0.17930000000000001
     311.0                  5.0    8.679999999999986  0.17859999999999998
       3.0                  0.0  -2.0399999999999996               0.1779
     421.0                 11.0   21.480000000000047               0.1772
     306.0                  7.0   12.929999999999984               0.1765
     105.0                  0.0  -1.9399999999999997               0.1758
     413.0                 16.0   31.880000000000113               0.1751
     204.0                  8.0   15.189999999999996               0.1744
     218.0                  9.0   17.329999999999984  0.17370000000000002
      99.0                  1.0   0.2000000000000015                0.173
     114.0                  5.0    8.809999999999986               0.1723
     178.0                  7.0   12.909999999999982               0.1716
     264.0                 12.0   23.550000000000086               0.1709
       3.0                  0.0  -1.9799999999999998  0.17020000000000002
     311.0                 11.0    21.72000000000002  0.16949999999999998
     273.0                  6.0   10.939999999999984               0.1688
     195.0                  6.0   10.879999999999981               0.1681
     477.0                 11.0    21.70000000000006               0.1674
     297.0                 13.0    25.26000000000007  0.16670000000000001
     413.0                  9.0   17.460000000000022  0.16599999999999998
     593.0                  4.0     6.53999999999999               0.1653
     101.0                  5.0     8.55999999999999               0.1646
      86.0                  1.0   0.3899999999999948               0.1639
      73.0                  4.0    6.459999999999994               0.1632
     176.0                  5.0    8.949999999999983               0.1625
     214.0                  8.0   15.009999999999982               0.1618
      85.0                  2.0    2.279999999999995  0.16110000000000002
     204.0                  6.0   10.769999999999985               0.1604
      28.0                  1.0 0.010000000000001119               0.1597
     359.0                 13.0    25.44000000000007                0.159
     244.0                  3.0    4.589999999999987               0.1583
     191.0                  7.0   12.799999999999986  0.15760000000000002
     360.0                 12.0    23.09000000000004  0.15689999999999998
     207.0                  8.0   15.260000000000003               0.1562
     308.0                  9.0   17.150000000000013               0.1555
     347.0                 12.0   23.460000000000043               0.1548
     168.0                  4.0    6.709999999999988  0.15410000000000001
     186.0                  4.0    6.489999999999993  0.15339999999999998
     136.0                  5.0    8.829999999999986               0.1527
     417.0                  5.0    8.899999999999986                0.152
     453.0                 13.0   26.020000000000067               0.1513
     169.0                  5.0    8.739999999999986               0.1506
     220.0                  5.0    9.009999999999986               0.1499
     286.0                  8.0   15.409999999999973               0.1492
     174.0                  6.0   10.889999999999985  0.14850000000000002
     266.0                  6.0   10.729999999999986               0.1478
     244.0                  7.0   12.829999999999984               0.1471
     455.0                 14.0   28.000000000000085               0.1464
