
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.1
 epsilon_decay_rate: 0.0004
 target_update_frequency: 50
 learning_rate: 1e-05
 memory_size: 1000000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
      15.0                  0.0                 -1.9                 0.25
      11.0                  0.0  -2.0599999999999996                 0.25
      16.0                  0.0                -2.01                 0.25
       3.0                  0.0  -1.9799999999999998                 0.25
      14.0                  0.0                -1.89                 0.25
       6.0                  0.0                -2.05                 0.25
      11.0                  0.0  -2.0799999999999996                 0.25
      11.0                  0.0  -1.9599999999999997                 0.25
       2.0                  0.0                -2.03                 0.25
      51.0                  0.0  -1.8399999999999999               0.2464
       5.0                  0.0  -1.9599999999999997                0.246
      18.0                  0.0                -2.09               0.2456
      14.0                  0.0  -1.9899999999999998               0.2452
      18.0                  0.0                -2.19               0.2448
      23.0                  0.0  -1.9999999999999998               0.2444
       5.0                  0.0  -2.0599999999999996                0.244
       9.0                  0.0  -1.9999999999999998               0.2436
       2.0                  0.0                -2.03               0.2432
      32.0                  0.0                -2.11               0.2428
       8.0                  0.0                -2.03               0.2424
       4.0                  0.0                -2.05                0.242
      15.0                  0.0  -1.9199999999999997               0.2416
       4.0                  0.0  -1.9699999999999998               0.2412
      11.0                  0.0  -2.0999999999999996  0.24080000000000001
       3.0                  0.0  -2.0399999999999996               0.2404
       7.0                  0.0  -1.9599999999999997                 0.24
       6.0                  0.0  -1.9699999999999998               0.2396
      11.0                  0.0  -2.1199999999999997               0.2392
      31.0                  1.0 -0.03999999999999715               0.2388
       0.0                  0.0                -2.01               0.2384
      11.0                  0.0  -2.1199999999999997                0.238
      28.0                  0.0                -2.05               0.2376
       5.0                  0.0  -2.0599999999999996               0.2372
       7.0                  0.0  -1.9799999999999998               0.2368
      18.0                  0.0  -1.9299999999999997               0.2364
       7.0                  0.0  -2.0799999999999996                0.236
      11.0                  0.0  -2.0399999999999996               0.2356
       8.0                  0.0                -2.09               0.2352
       0.0                  0.0                -2.01               0.2348
      10.0                  0.0                -2.11               0.2344
      22.0                  0.0  -1.9499999999999997  0.23399999999999999
      23.0                  0.0  -2.2199999999999998               0.2336
       3.0                  0.0  -2.0399999999999996               0.2332
       0.0                  0.0                -2.01               0.2328
      28.0                  0.0  -1.8099999999999998               0.2324
      16.0                  0.0                -2.17  0.23199999999999998
      37.0                  0.0  -1.9599999999999997               0.2316
      13.0                  0.0  -2.0999999999999996               0.2312
       4.0                  0.0                -2.03               0.2308
      51.0                  0.0  -2.0199999999999996               0.2304
      27.0                  0.0  -1.8199999999999998                 0.23
      23.0                  0.0  -2.0599999999999996               0.2296
       6.0                  0.0                -2.07               0.2292
       3.0                  0.0  -2.0399999999999996               0.2288
       6.0                  0.0  -1.9699999999999998               0.2284
      21.0                  0.0  -2.0199999999999996                0.228
      30.0                  0.0                -2.11               0.2276
      11.0                  0.0  -1.9999999999999998               0.2272
       7.0                  0.0  -1.9799999999999998               0.2268
      10.0                  0.0                -2.03               0.2264
      30.0                  0.0  -1.9099999999999997                0.226
       2.0                  0.0                -2.03               0.2256
       9.0                  0.0  -1.9999999999999998               0.2252
      18.0                  0.0                -2.17               0.2248
      12.0                  0.0                -2.01               0.2244
      60.0                  1.0 -0.02999999999999936                0.224
      27.0                  0.0  -2.1399999999999997               0.2236
       9.0                  0.0  -2.0999999999999996               0.2232
       6.0                  0.0                -2.01               0.2228
      11.0                  1.0  0.06000000000000005               0.2224
      23.0                  0.0  -2.0199999999999996                0.222
      32.0                  0.0                -2.05               0.2216
       0.0                  0.0                -2.01               0.2212
       5.0                  0.0  -2.0199999999999996               0.2208
      58.0                  0.0                -2.07  0.22039999999999998
      21.0                  0.0  -1.9799999999999998                 0.22
      71.0                  0.0  -2.1799999999999997               0.2196
      80.0                  0.0  -1.9499999999999997               0.2192
      30.0                  0.0  -1.9499999999999997               0.2188
      20.0                  0.0                -2.05  0.21839999999999998
      35.0                  1.0  0.05999999999999961                0.218
      47.0                  0.0  -1.9599999999999997  0.21760000000000002
      66.0                  0.0                -2.09               0.2172
      14.0                  0.0  -1.9499999999999997               0.2168
       7.0                  0.0  -2.0199999999999996  0.21639999999999998
       4.0                  0.0  -1.9699999999999998                0.216
      79.0                  0.0  -2.0599999999999996               0.2156
      40.0                  1.0  0.26999999999999735               0.2152
      31.0                  0.0  -1.9399999999999997               0.2148
      34.0                  0.0                -2.01               0.2144
      87.0                  1.0   0.2399999999999971                0.214
      12.0                  0.0                -2.05               0.2136
      16.0                  0.0                -2.01               0.2132
       7.0                  0.0  -1.9999999999999998               0.2128
     405.0                  1.0    0.239999999999998               0.2124
      66.0                  2.0                 2.21                0.212
      71.0                  3.0    4.359999999999996               0.2116
      65.0                  0.0  -1.8399999999999999               0.2112
      89.0                  4.0    6.439999999999992               0.2108
      73.0                  2.0                 2.04               0.2104
     259.0                  7.0    13.07999999999998                 0.21
     132.0                  7.0   12.649999999999988               0.2096
      13.0                  1.0  0.05999999999999961               0.2092
      86.0                  4.0    6.409999999999993  0.20879999999999999
     102.0                  4.0    6.409999999999993               0.2084
      31.0                  0.0  -1.9199999999999997                0.208
      63.0                  0.0  -1.8599999999999999               0.2076
      97.0                  4.0    6.399999999999993               0.2072
     103.0                  4.0     6.53999999999999  0.20679999999999998
     218.0                  6.0   11.069999999999979               0.2064
      25.0                  0.0  -1.7599999999999998                0.206
     141.0                  5.0    8.879999999999985               0.2056
     134.0                  6.0   10.689999999999987               0.2052
      28.0                  1.0  0.20999999999999908  0.20479999999999998
     127.0                  4.0     6.55999999999999               0.2044
     157.0                  5.0     8.97999999999998  0.20400000000000001
     114.0                  5.0     8.60999999999999               0.2036
     126.0                  4.0    6.669999999999986               0.2032
     131.0                  5.0    8.819999999999986               0.2028
      80.0                  5.0    8.389999999999993               0.2024
     171.0                  2.0    2.539999999999993                0.202
      16.0                  1.0  0.12999999999999945               0.2016
      91.0                  5.0    8.499999999999991               0.2012
     200.0                  3.0    4.669999999999989               0.2008
     125.0                  6.0   10.719999999999988               0.2004
