
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Hyperparameters ####### : 
batch_size: 256
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.003
 target_update_frequency: 50
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 475
 
####### Optimizer ####### : 
 Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
 MSELoss()

####### Network structure #######: 
 DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
      21.0                  0.0  -2.0002000000000004                  1.0
      36.0                  0.0              -2.0007                  1.0
      20.0                  0.0              -2.0001                  1.0
      19.0                  0.0  -1.9996000000000003                  1.0
       5.0                  0.0  -2.0006000000000004                  1.0
      39.0                  0.0  -2.0012000000000003                  1.0
      21.0                  0.0  -2.0006000000000004                  1.0
       4.0                  0.0              -2.0003                  1.0
      11.0                  0.0  -2.0012000000000003                  1.0
       1.0                  0.0  -2.0002000000000004                  1.0
      11.0                  0.0                 -2.0                  1.0
       7.0                  0.0  -2.0002000000000004                  1.0
       4.0                  0.0              -2.0003                  1.0
       7.0                  0.0  -2.0002000000000004                  1.0
      15.0                  0.0  -2.0008000000000004                  1.0
      46.0                  0.0              -2.0011                0.955
       7.0                  0.0  -2.0002000000000004                0.952
     135.0                  0.0  -2.0012000000000003                0.949
       1.0                  0.0                 -2.0                0.946
      10.0                  0.0              -2.0003                0.943
      11.0                  0.0  -2.0004000000000004                 0.94
      19.0                  0.0                 -2.0                0.937
      23.0                  0.0  -2.0016000000000003   0.9339999999999999
     101.0                  1.0 -4.440892098500626e-16                0.931
      22.0                  0.0  -1.9999000000000002   0.9279999999999999
      15.0                  0.0  -1.9998000000000002                0.925
      17.0                  0.0  -2.0004000000000004                0.922
      12.0                  0.0              -2.0005                0.919
     121.0                  1.0 0.0003999999999981796                0.916
      83.0                  0.0  -2.0004000000000004                0.913
      62.0                  0.0  -1.9999000000000002                 0.91
       8.0                  0.0  -1.9997000000000003                0.907
      12.0                  0.0  -1.9999000000000002                0.904
       4.0                  0.0              -2.0001                0.901
      34.0                  0.0  -1.9999000000000002                0.898
