
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.01
longer_from_apple_punishment: -0.01
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.25
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.0007
 target_update_frequency: 25
 learning_rate: 2e-05
 memory_size: 100000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       1.0                  0.0  -1.9999999999999998                 0.25
      47.0                  1.0 0.020000000000000462                 0.25
      35.0                  0.0  -2.0799999999999996                 0.25
      11.0                  0.0  -2.0999999999999996                 0.25
       5.0                  0.0  -2.0599999999999996                 0.25
      17.0                  0.0  -2.1399999999999997                 0.25
       3.0                  0.0  -2.0399999999999996                 0.25
       4.0                  0.0                -2.05               0.2451
      17.0                  0.0  -2.0999999999999996               0.2444
       1.0                  0.0  -2.0199999999999996               0.2437
     104.0                  1.0  0.04999999999999982                0.243
       2.0                  0.0                -2.03               0.2423
      49.0                  0.0  -1.9399999999999997               0.2416
      16.0                  0.0                -2.17               0.2409
      33.0                  0.0  -1.9799999999999998               0.2402
      16.0                  0.0                -1.89               0.2395
      16.0                  0.0  -1.9099999999999997               0.2388
      41.0                  1.0   0.1599999999999988               0.2381
      22.0                  0.0                -2.19               0.2374
      10.0                  0.0  -1.9899999999999998               0.2367
      54.0                  0.0                -2.09                0.236
      25.0                  0.0  -2.1799999999999997               0.2353
       5.0                  0.0  -1.9599999999999997               0.2346
       8.0                  0.0                -2.09               0.2339
       8.0                  0.0                -2.01               0.2332
      13.0                  0.0  -2.0599999999999996               0.2325
      24.0                  0.0  -1.9299999999999997               0.2318
      58.0                  0.0                -2.05               0.2311
      33.0                  1.0  0.04000000000000181               0.2304
      26.0                  0.0  -1.9099999999999997  0.22970000000000002
       6.0                  0.0                -2.07                0.229
      33.0                  1.0  0.08000000000000185               0.2283
      27.0                  0.0  -2.1599999999999997               0.2276
      22.0                  0.0                -2.03               0.2269
      46.0                  0.0                -2.09               0.2262
      23.0                  0.0  -1.9399999999999997               0.2255
      94.0                  1.0  0.04999999999999982               0.2248
      23.0                  0.0  -1.9999999999999998               0.2241
       2.0                  0.0  -1.9899999999999998               0.2234
      19.0                  0.0  -2.0199999999999996               0.2227
      32.0                  0.0  -1.9499999999999997                0.222
      26.0                  2.0   2.0699999999999994               0.2213
      31.0                  0.0  -1.9799999999999998               0.2206
     193.0                  1.0    0.259999999999998               0.2199
      36.0                  0.0  -1.9099999999999997               0.2192
      41.0                  0.0  -2.1999999999999997               0.2185
      30.0                  0.0  -1.8699999999999999               0.2178
      39.0                  1.0  0.13999999999999746  0.21710000000000002
       0.0                  0.0                -2.01               0.2164
      29.0                  1.0  0.08000000000000007               0.2157
      46.0                  0.0  -1.9699999999999998                0.215
      63.0                  2.0    2.279999999999996               0.2143
      23.0                  0.0  -2.0399999999999996               0.2136
     407.0                  2.0   2.3799999999999946               0.2129
      32.0                  1.0  0.10999999999999988               0.2122
     228.0                  5.0     8.42999999999999               0.2115
       5.0                  0.0  -1.9599999999999997               0.2108
     196.0                  4.0    6.829999999999984               0.2101
     600.0                  0.0  0.12999999999999998               0.2094
     114.0                  4.0    6.689999999999985               0.2087
     129.0                  5.0    8.879999999999985                0.208
     193.0                  7.0   13.039999999999981  0.20729999999999998
       5.0                  0.0  -1.9799999999999998               0.2066
     119.0                  5.0    8.819999999999984               0.2059
      16.0                  0.0                -1.89               0.2052
      32.0                  2.0    2.089999999999998  0.20450000000000002
       9.0                  0.0  -1.9999999999999998               0.2038
      86.0                  3.0                 4.07               0.2031
     176.0                  6.0    10.66999999999999               0.2024
      49.0                  2.0   2.2599999999999962               0.2017
      45.0                  1.0  0.21999999999999753                0.201
      91.0                  4.0    6.599999999999989               0.2003
     118.0                  4.0     6.64999999999999               0.1996
      72.0                  4.0    6.469999999999992               0.1989
     125.0                  6.0   10.579999999999988               0.1982
      44.0                  1.0   0.2499999999999969               0.1975
     178.0                  8.0   14.969999999999983               0.1968
      61.0                  2.0   2.4199999999999937               0.1961
     143.0                  3.0    4.539999999999992               0.1954
     238.0                  6.0   10.809999999999986  0.19469999999999998
     180.0                 10.0    19.21000000000002                0.194
     110.0                  4.0    6.749999999999986               0.1933
      97.0                  6.0   10.859999999999983               0.1926
     120.0                  0.0  -1.8699999999999999  0.19190000000000002
     226.0                 12.0    23.41000000000005               0.1912
     164.0                  5.0    8.509999999999991               0.1905
      50.0                  5.0    8.369999999999994               0.1898
      46.0                  1.0   0.3099999999999965               0.1891
     125.0                  4.0    6.919999999999986               0.1884
     182.0                  6.0   11.029999999999982               0.1877
     275.0                  6.0   10.919999999999982                0.187
      98.0                  5.0    8.749999999999986  0.18630000000000002
      92.0                  3.0    4.589999999999991               0.1856
      45.0                  2.0   2.1999999999999957               0.1849
     246.0                  6.0    11.10999999999998               0.1842
     181.0                  2.0   2.3599999999999968               0.1835
     313.0                 11.0    21.64000000000005  0.18280000000000002
     159.0                  3.0   4.6599999999999895  0.18209999999999998
     331.0                 13.0   25.500000000000092               0.1814
     415.0                 14.0    27.74000000000008               0.1807
     203.0                  9.0   17.440000000000005                 0.18
     197.0                 12.0    23.38000000000008  0.17930000000000001
     169.0                  7.0    12.93999999999998  0.17859999999999998
      61.0                  5.0    8.339999999999995               0.1779
     594.0                  8.0   15.029999999999982               0.1772
      31.0                  0.0  -1.9599999999999997               0.1765
      14.0                  0.0                -1.89               0.1758
     139.0                  6.0   10.779999999999985               0.1751
     179.0                  9.0   17.440000000000033               0.1744
     141.0                  6.0    11.03999999999998  0.17370000000000002
     199.0                  4.0    6.799999999999988                0.173
       5.0                  0.0  -1.9799999999999998               0.1723
     146.0                  8.0   15.089999999999987               0.1716
      25.0                  1.0   0.1999999999999993               0.1709
     436.0                 16.0   32.470000000000056  0.17020000000000002
       3.0                  0.0  -1.9799999999999998  0.16949999999999998
     216.0                 11.0   21.350000000000023               0.1688
      39.0                  1.0  0.07999999999999874               0.1681
     416.0                 19.0    38.75000000000004               0.1674
     330.0                 14.0   27.390000000000086  0.16670000000000001
     120.0                  5.0    8.909999999999984  0.16599999999999998
      33.0                  0.0  -1.9399999999999997               0.1653
     105.0                  6.0   10.839999999999984               0.1646
     132.0                  4.0    7.009999999999982               0.1639
     171.0                  5.0     8.59999999999999               0.1632
     211.0                  2.0   2.4199999999999955               0.1625
     225.0                  9.0   17.160000000000004               0.1618
     160.0                  8.0   15.129999999999983  0.16110000000000002
     272.0                 15.0   29.970000000000077               0.1604
     656.0                  3.0    6.449999999999992               0.1597
      83.0                  4.0    6.359999999999994                0.159
      42.0                  2.0   2.2499999999999947               0.1583
     274.0                 10.0    19.15000000000004  0.15760000000000002
     287.0                 14.0    27.52000000000011  0.15689999999999998
     190.0                  8.0   15.189999999999989               0.1562
      82.0                  7.0   12.709999999999987               0.1555
     134.0                  5.0     8.54999999999999               0.1548
     331.0                 17.0   34.060000000000045  0.15410000000000001
     129.0                  4.0    6.539999999999992  0.15339999999999998
     228.0                  4.0    6.749999999999988               0.1527
      38.0                  2.0    2.289999999999999                0.152
     119.0                  4.0    6.779999999999987               0.1513
      91.0                  5.0     8.57999999999999               0.1506
     197.0                  8.0   15.400000000000007               0.1499
     403.0                 14.0   28.500000000000128               0.1492
     629.0                  6.0   10.899999999999984  0.14850000000000002
      78.0                  4.0    6.469999999999992               0.1478
      46.0                  3.0    4.269999999999996               0.1471
     110.0                  3.0    4.409999999999992               0.1464
      89.0                  6.0   10.639999999999986               0.1457
     147.0                  7.0   12.939999999999984  0.14500000000000002
     233.0                 12.0   23.400000000000077  0.14429999999999998
     316.0                  6.0   10.809999999999985               0.1436
     251.0                  9.0   17.260000000000034               0.1429
     247.0                 10.0   19.680000000000035               0.1422
     210.0                 15.0   29.670000000000137  0.14150000000000001
     104.0                  5.0    8.809999999999986  0.14079999999999998
     263.0                  6.0   10.999999999999982               0.1401
     317.0                 17.0   33.900000000000084               0.1394
     207.0                  8.0   15.240000000000004               0.1387
     149.0                  6.0   11.079999999999979                0.138
       2.0                  0.0  -1.9899999999999998               0.1373
