
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using linear eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.0
longer_from_apple_punishment: -0.0


####### Hyperparameters ####### : 
batch_size: 256
 gamma: 0.99
 initial_epsilon: 1.0
 minimal_epsilon: 0.001
 epsilon_decay_rate: 0.003
 target_update_frequency: 50
 learning_rate: 2e-05
 memory_size: 1000000
 n_episodes: 445
 
####### Optimizer ####### : 
 Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 2e-05
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
 MSELoss()

####### Network structure #######: 
 DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=360, bias=True)
  (lin2): Linear(in_features=360, out_features=180, bias=True)
  (lin3): Linear(in_features=180, out_features=4, bias=True)
  (rectifier): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
      21.0                  0.0                 -2.0                  1.0
      36.0                  0.0                 -2.0                  1.0
      20.0                  0.0                 -2.0                  1.0
      19.0                  0.0                 -2.0                  1.0
       5.0                  0.0                 -2.0                  1.0
      39.0                  0.0                 -2.0                  1.0
      21.0                  0.0                 -2.0                  1.0
       4.0                  0.0                 -2.0                  1.0
      11.0                  0.0                 -2.0                  1.0
       1.0                  0.0                 -2.0                  1.0
      11.0                  0.0                 -2.0                  1.0
       7.0                  0.0                 -2.0                  1.0
       4.0                  0.0                 -2.0                  1.0
       7.0                  0.0                 -2.0                  1.0
      15.0                  0.0                 -2.0                  1.0
      46.0                  0.0                 -2.0                0.955
       7.0                  0.0                 -2.0                0.952
     139.0                  0.0                 -2.0                0.949
       1.0                  0.0                 -2.0                0.946
      12.0                  0.0                 -2.0                0.943
      27.0                  0.0                 -2.0                 0.94
      16.0                  0.0                 -2.0                0.937
      86.0                  0.0                 -2.0   0.9339999999999999
      36.0                  2.0                  2.0                0.931
       0.0                  0.0                 -2.0   0.9279999999999999
      43.0                  1.0                  0.0                0.925
       3.0                  0.0                 -2.0                0.922
       5.0                  0.0                 -2.0                0.919
       2.0                  0.0                 -2.0                0.916
      56.0                  0.0                 -2.0                0.913
      21.0                  0.0                 -2.0                 0.91
      15.0                  0.0                 -2.0                0.907
     187.0                  0.0                 -2.0                0.904
       3.0                  0.0                 -2.0                0.901
      27.0                  0.0                 -2.0                0.898
     105.0                  0.0                 -2.0                0.895
      68.0                  0.0                 -2.0                0.892
     140.0                  1.0                  0.0                0.889
      24.0                  0.0                 -2.0                0.886
     112.0                  0.0                 -2.0                0.883
      27.0                  0.0                 -2.0                 0.88
      13.0                  0.0                 -2.0                0.877
       1.0                  0.0                 -2.0                0.874
       1.0                  0.0                 -2.0                0.871
      10.0                  0.0                 -2.0                0.868
      27.0                  1.0                  0.0                0.865
       7.0                  0.0                 -2.0                0.862
      53.0                  1.0                  0.0                0.859
       2.0                  0.0                 -2.0                0.856
      37.0                  0.0                 -2.0                0.853
       0.0                  0.0                 -2.0                 0.85
      13.0                  0.0                 -2.0                0.847
      34.0                  0.0                 -2.0                0.844
     172.0                  0.0                 -2.0                0.841
      56.0                  0.0                 -2.0                0.838
     171.0                  1.0                  0.0                0.835
      39.0                  0.0                 -2.0                0.832
      40.0                  0.0                 -2.0                0.829
       1.0                  0.0                 -2.0                0.826
      42.0                  1.0                  0.0                0.823
       2.0                  0.0                 -2.0   0.8200000000000001
       7.0                  0.0                 -2.0                0.817
       5.0                  0.0                 -2.0   0.8140000000000001
      28.0                  0.0                 -2.0   0.8109999999999999
      57.0                  0.0                 -2.0                0.808
      39.0                  1.0                  0.0   0.8049999999999999
       7.0                  0.0                 -2.0                0.802
      14.0                  0.0                 -2.0   0.7989999999999999
      13.0                  0.0                 -2.0                0.796
