
########################################################################## 
################################ Settings ################################ 
########################################################################## 

Note: Using exponential eps. decay. + distance to apple reward.

####### Environment settings ####### : 
screen_size: (600, 600)
snake_block_size: (30, 30)
grid_size: 20
apple_reward: 2.0
death_punishment: -2.0
closer_2_apple_reward: 0.001
longer_from_apple_punishment: -0.001
max_iterations: 600


####### Hyperparameters ####### : 
batch_size: 128
 gamma: 0.99
 initial_epsilon: 0.5
 minimal_epsilon: 0.0
 epsilon_decay_rate: 0.015
 target_update_frequency: 10
 learning_rate: 0.0001
 memory_size: 100000
 n_episodes: 600
 
####### Optimizer ####### : 
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 0.0001
    maximize: False
    weight_decay: 0
)

####### Loss function ####### : 
MSELoss()

####### Network structure #######: 
DeepQNetwork(
  (lin1): Linear(in_features=18, out_features=540, bias=True)
  (lin2): Linear(in_features=540, out_features=270, bias=True)
  (lin3): Linear(in_features=270, out_features=4, bias=True)
  (rectifier1): ReLU()
)

########################################################################## 
################################## DATA ################################## 
########################################################################## 
    steps:              scores:             rewards:             epsilon:
       0.0                  0.0               -2.001                  0.5
      17.0                  0.0               -2.008                  0.5
      18.0                  0.0               -2.009                  0.5
       8.0                  0.0  -1.9929999999999999                  0.5
      21.0                  0.0               -2.008                  0.5
       9.0                  0.0               -2.008                  0.5
      21.0                  0.0               -1.998                  0.5
      37.0                  0.0                -1.99                0.395
       8.0                  0.0               -2.009                 0.38
      16.0                  0.0  -2.0069999999999997                0.365
      54.0                  0.0               -2.009                 0.35
      19.0                  0.0               -2.004                0.335
      42.0                  0.0  -1.9949999999999999                 0.32
     131.0                  0.0               -2.008                0.305
      46.0                  0.0  -2.0109999999999997  0.29000000000000004
      19.0                  0.0               -2.014                0.275
     101.0                  0.0                 -2.0                 0.26
       6.0                  0.0               -2.005                0.245
     141.0                  1.0 0.015999999999999126  0.22999999999999998
     324.0                  1.0 0.022999999999999687  0.21500000000000002
      51.0                  1.0 0.015999999999998682                  0.2
     129.0                  2.0    2.050000000000001                0.185
     274.0                  5.0    8.072999999999997  0.17000000000000004
     151.0                  6.0    10.05799999999999  0.15500000000000003
      82.0                  1.0 0.034999999999999254                 0.14
     129.0                  4.0   6.0379999999999985                0.125
     170.0                  8.0   14.116999999999988  0.10999999999999999
      69.0                  3.0    4.027999999999997  0.09500000000000003
      29.0                  1.0  0.01200000000000001  0.08000000000000002
      54.0                  2.0   2.0450000000000066                0.065
     169.0                  6.0   10.107999999999983 0.050000000000000044
      82.0                  5.0    8.055000000000005  0.03500000000000003
     212.0                 13.0    24.16700000000004 0.020000000000000018
     377.0                 13.0    24.19400000000006 0.0050000000000000044
     720.0                  4.0    6.049000000000005                  0.0
    1808.0                 38.0    74.51700000000002                  0.0
    1152.0                 33.0    64.37899999999972                  0.0
     651.0                 26.0    50.38799999999979                  0.0
     795.0                 33.0     64.4499999999997                  0.0
      71.0                  5.0    8.042000000000003                  0.0
    1830.0                 32.0   62.470999999999584                  0.0
     802.0                 38.0    74.48300000000006                  0.0
     912.0                 34.0    66.42499999999964                  0.0
     758.0                 35.0    68.48900000000009                  0.0
     836.0                 36.0    70.46100000000014                  0.0
     506.0                 25.0    48.32099999999981                  0.0
    1003.0                 38.0    74.59199999999981                  0.0
     405.0                 23.0    44.31399999999994                  0.0
    1092.0                 42.0    82.65700000000024                  0.0
    2237.0                 56.0    110.8020000000014                  0.0
     802.0                 40.0     78.6350000000001                  0.0
     648.0                 38.0    74.41899999999994                  0.0
     764.0                 35.0    68.43299999999972                  0.0
    1456.0                 54.0   106.70700000000112                  0.0
    1969.0                 53.0   104.70600000000074                  0.0
     404.0                 23.0    44.29699999999983                  0.0
    1049.0                 50.0     98.7400000000009                  0.0
    1837.0                 57.0   112.70800000000119                  0.0
    1902.0                 61.0   120.79100000000143                  0.0
     521.0                 31.0   60.395999999999646                  0.0
    1648.0                 52.0   102.71500000000088                  0.0
    1758.0                 64.0   126.88500000000172                  0.0
     346.0                 21.0   40.287000000000035                  0.0
    1502.0                 58.0   114.87900000000157                  0.0
    1054.0                 48.0    94.69500000000077                  0.0
     786.0                 41.0    80.55300000000014                  0.0
    1378.0                 56.0    110.7030000000009                  0.0
     855.0                 49.0    96.69200000000075                  0.0
    1542.0                 58.0   114.68500000000117                  0.0
     853.0                 43.0     84.5960000000006                  0.0
    1638.0                 59.0    116.7150000000012                  0.0
     916.0                 45.0    88.66700000000027                  0.0
     407.0                 25.0    48.32999999999983                  0.0
    1069.0                 53.0    104.6640000000009                  0.0
     664.0                 38.0    74.54900000000004                  0.0
    1424.0                 63.0    124.8330000000018                  0.0
    1077.0                 53.0   104.61400000000103                  0.0
     653.0                 34.0    66.50799999999974                  0.0
    1447.0                 55.0   108.75400000000121                  0.0
     882.0                 48.0    94.61300000000097                  0.0
    1534.0                 49.0    96.65900000000056                  0.0
    1301.0                 51.0   100.72000000000091                  0.0
    1237.0                 54.0     106.742000000001                  0.0
    1117.0                 51.0   100.67800000000099                  0.0
    1472.0                 57.0   112.74900000000127                  0.0
    1175.0                 56.0   110.70000000000127                  0.0
    1406.0                 65.0   128.80700000000164                  0.0
    1565.0                 60.0   118.69400000000111                  0.0
    1057.0                 53.0   104.67400000000089                  0.0
     754.0                 40.0    78.61900000000023                  0.0
     726.0                 36.0    70.55099999999992                  0.0
     546.0                 34.0    66.45099999999971                  0.0
     766.0                 45.0    88.69300000000024                  0.0
     517.0                 32.0    62.40199999999964                  0.0
    1364.0                 55.0   108.76100000000123                  0.0
    1435.0                 57.0   112.79400000000102                  0.0
    1313.0                 55.0   108.76400000000112                  0.0
     736.0                 45.0     88.6070000000004                  0.0
     711.0                 39.0    76.52800000000003                  0.0
     899.0                 44.0    86.57600000000025                  0.0
    1368.0                 62.0   122.90700000000177                  0.0
    1068.0                 51.0   100.72900000000091                  0.0
     678.0                 38.0    74.51499999999994                  0.0
    1161.0                 58.0    114.7500000000014                  0.0
    1949.0                 73.0   144.98800000000227                  0.0
    1181.0                 53.0   104.73000000000107                  0.0
    1660.0                 61.0   120.76700000000157                  0.0
     876.0                 47.0    92.60700000000065                  0.0
     415.0                 26.0   50.403999999999776                  0.0
    1026.0                 53.0   104.70500000000081                  0.0
    1890.0                 71.0    140.9430000000021                  0.0
